no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,income_to_loan_ratio,total_assets
1,1,0,1600000,5100000,18,729,2500000,2000000,6200000,900000,0.3137254901960784,10700000
4,0,1,600000,2300000,6,495,1700000,600000,2000000,300000,0.2608695652173913,4300000
2,0,0,5400000,12500000,4,622,14400000,2900000,11800000,5400000,0.432,29100000
4,1,1,1600000,3200000,20,371,1600000,2300000,4600000,1000000,0.5,8500000
5,1,1,8800000,23100000,16,531,20800000,2600000,22100000,8000000,0.38095238095238093,45500000
5,0,1,2100000,7100000,10,517,1200000,2900000,5400000,1400000,0.29577464788732394,9500000
0,0,1,4500000,9600000,14,471,3200000,7700000,11000000,3600000,0.46875,21900000
3,0,1,9500000,25700000,18,446,16900000,13600000,29300000,10100000,0.36964980544747084,59800000
0,1,1,8900000,23000000,12,741,5600000,11200000,27100000,7100000,0.3869565217391304,43900000
3,1,0,4300000,11100000,6,312,4800000,3800000,10100000,3300000,0.38738738738738737,18700000
2,0,0,7300000,19100000,14,552,2000000,13400000,16800000,4000000,0.38219895287958117,32200000
5,0,1,5800000,13000000,8,851,6700000,8700000,17700000,4100000,0.4461538461538462,33100000
4,1,1,6400000,15500000,2,324,18400000,11100000,13900000,4500000,0.4129032258064516,43400000
1,0,1,2400000,8300000,6,684,5500000,3500000,5300000,2300000,0.2891566265060241,14300000
4,0,1,3800000,11100000,16,857,11300000,7400000,11700000,4700000,0.34234234234234234,30400000
0,0,0,8500000,21000000,6,665,3600000,9600000,27500000,11300000,0.40476190476190477,40700000
3,1,0,2300000,7400000,2,682,6500000,2400000,7600000,2100000,0.3108108108108108,16500000
1,0,0,9100000,30100000,14,890,17800000,12400000,32500000,7500000,0.3023255813953488,62700000
0,1,0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0.5,22500000
4,1,0,1900000,5600000,2,832,2700000,3300000,7100000,2400000,0.3392857142857143,13100000
2,0,1,3600000,11500000,8,590,1600000,5200000,10900000,3000000,0.3130434782608696,17700000
3,1,0,4500000,16100000,16,671,10500000,3600000,12400000,5800000,0.2795031055900621,26500000
2,1,0,3700000,10900000,12,788,1700000,700000,12200000,2600000,0.3394495412844037,14600000
1,0,1,7800000,23300000,6,620,3500000,2100000,22200000,7600000,0.33476394849785407,27800000
5,1,0,2700000,8300000,8,833,4600000,1300000,6800000,3300000,0.3253012048192771,12700000
1,1,1,3500000,10500000,20,454,8300000,4000000,7600000,2100000,0.3333333333333333,19900000
4,1,0,1300000,4100000,18,886,2800000,500000,3800000,600000,0.3170731707317073,7100000
5,0,0,4500000,10200000,12,726,2900000,8600000,17500000,4200000,0.4411764705882353,29000000
5,1,1,4100000,11100000,18,756,1700000,3000000,10800000,3000000,0.36936936936936937,15500000
3,0,0,9100000,29700000,20,506,7100000,4500000,33300000,12800000,0.3063973063973064,44900000
2,1,1,7100000,19700000,20,890,13900000,3900000,22200000,4000000,0.3604060913705584,40000000
5,0,1,3900000,9000000,8,340,4900000,6800000,9000000,5200000,0.43333333333333335,20700000
3,1,1,7800000,17700000,6,876,15600000,15200000,25100000,10800000,0.4406779661016949,55900000
5,1,1,4000000,15500000,12,517,0,600000,12100000,3500000,0.25806451612903225,12700000
0,1,1,800000,2600000,2,618,300000,1200000,2000000,500000,0.3076923076923077,3500000
4,1,1,5600000,17500000,10,528,14200000,2300000,12100000,7200000,0.32,28600000
0,1,1,3300000,10400000,4,423,7400000,4700000,11600000,3200000,0.3173076923076923,23700000
4,0,0,600000,1800000,6,851,100000,1100000,2100000,800000,0.3333333333333333,3300000
2,1,0,6100000,23500000,14,510,9000000,9500000,12400000,3400000,0.25957446808510637,30900000
1,1,1,200000,600000,2,511,500000,100000,800000,200000,0.3333333333333333,1400000
0,0,0,5000000,14400000,2,761,-100000,7300000,12600000,4500000,0.3472222222222222,19800000
0,0,1,1800000,6000000,12,658,2900000,2300000,4500000,2400000,0.3,9700000
4,0,0,3700000,12300000,6,364,5900000,4200000,13700000,4400000,0.3008130081300813,23800000
5,0,1,7700000,16800000,20,584,8600000,4800000,23400000,8000000,0.4583333333333333,36800000
0,0,0,9200000,25400000,2,783,25400000,2000000,19600000,12400000,0.36220472440944884,47000000
4,1,0,2200000,8600000,20,373,4100000,1300000,5900000,1400000,0.2558139534883721,11300000
1,0,1,600000,2000000,10,326,400000,1000000,2400000,700000,0.3,3800000
5,0,0,6700000,17700000,6,482,3200000,10400000,18500000,5700000,0.3785310734463277,32100000
2,1,1,8500000,26900000,6,538,21300000,16400000,21500000,4600000,0.3159851301115242,59200000
5,1,0,6500000,23200000,18,713,6700000,1400000,13400000,7200000,0.2801724137931034,21500000
4,0,0,9900000,30000000,18,496,10400000,8000000,29300000,13800000,0.33,47700000
3,1,1,4500000,17900000,6,787,9800000,3600000,14300000,4200000,0.25139664804469275,27700000
0,0,1,7700000,18100000,18,705,6100000,5100000,23800000,6300000,0.425414364640884,35000000
5,1,1,6900000,15700000,14,887,13800000,5300000,25200000,4500000,0.4394904458598726,44300000
5,1,1,6000000,14700000,18,462,15400000,9700000,13800000,3500000,0.40816326530612246,38900000
1,1,0,2900000,7400000,10,874,400000,1200000,10100000,3300000,0.3918918918918919,11700000
5,0,0,6100000,17800000,6,849,2900000,10900000,16100000,7800000,0.34269662921348315,29900000
4,0,0,7200000,16900000,4,702,15900000,7100000,22000000,9600000,0.4260355029585799,45000000
3,0,1,3300000,10400000,12,816,7100000,6300000,11800000,4900000,0.3173076923076923,25200000
0,1,1,1800000,6500000,12,728,3500000,0,6100000,1900000,0.27692307692307694,9600000
4,0,1,9200000,18600000,2,889,26900000,4200000,33300000,9700000,0.4946236559139785,64400000
1,0,0,7200000,22800000,2,551,15000000,8700000,21300000,9500000,0.3157894736842105,45000000
1,0,0,7900000,24000000,12,867,20500000,10000000,30700000,9400000,0.32916666666666666,61200000
3,0,1,800000,1500000,2,589,1500000,1100000,1800000,400000,0.5333333333333333,4400000
2,0,1,4800000,17500000,20,381,400000,6900000,13400000,7000000,0.2742857142857143,20700000
2,0,0,7500000,19900000,10,790,3500000,13000000,19900000,5900000,0.3768844221105528,36400000
1,0,1,3400000,7000000,4,534,3100000,1600000,13000000,4000000,0.4857142857142857,17700000
5,1,1,7400000,24000000,16,854,4300000,6700000,20600000,8700000,0.30833333333333335,31600000
1,0,1,5900000,16700000,16,308,5800000,8800000,19100000,5300000,0.3532934131736527,33700000
1,0,0,1600000,4600000,12,415,800000,600000,3900000,1500000,0.34782608695652173,5300000
1,1,1,3600000,13100000,8,543,2900000,100000,9900000,2700000,0.2748091603053435,12900000
0,0,1,2500000,5400000,6,463,1900000,3500000,8200000,1800000,0.46296296296296297,13600000
2,0,0,1900000,5200000,6,896,4300000,100000,6200000,2400000,0.36538461538461536,10600000
4,1,1,7900000,27300000,10,560,23100000,14400000,28500000,10900000,0.2893772893772894,66000000
2,0,1,4500000,12600000,2,568,6900000,3900000,17800000,2900000,0.35714285714285715,28600000
5,0,1,2300000,9100000,16,644,4000000,2600000,6600000,3100000,0.25274725274725274,13200000
2,1,0,2900000,11000000,2,835,4900000,3200000,11500000,1400000,0.2636363636363636,19600000
1,0,1,2100000,7700000,16,327,5000000,500000,4700000,2300000,0.2727272727272727,10200000
3,0,0,7900000,18300000,10,731,4200000,3400000,22200000,8400000,0.43169398907103823,29800000
4,1,1,1400000,5100000,14,312,4000000,1000000,3200000,1400000,0.27450980392156865,8200000
4,0,0,4700000,10800000,20,495,11300000,6800000,17000000,4500000,0.4351851851851852,35100000
0,0,0,9500000,28400000,18,577,6200000,10300000,30200000,14100000,0.3345070422535211,46700000
1,0,1,9400000,21000000,12,443,14100000,2700000,23200000,5600000,0.44761904761904764,40000000
1,0,1,200000,500000,20,713,0,200000,500000,100000,0.4,700000
4,1,1,7000000,23500000,18,336,15000000,9500000,19700000,7800000,0.2978723404255319,44200000
2,0,0,4700000,17700000,14,675,5800000,7200000,13100000,6500000,0.2655367231638418,26100000
0,1,1,7900000,26300000,8,666,4600000,9200000,18400000,11800000,0.30038022813688214,32200000
4,0,1,6300000,23900000,6,899,-100000,11400000,20600000,6700000,0.26359832635983266,31900000
0,1,0,2000000,7000000,6,666,0,1200000,4300000,1400000,0.2857142857142857,5500000
5,0,1,1300000,4300000,2,595,1300000,500000,2900000,1500000,0.3023255813953488,4700000
0,0,1,6200000,22400000,18,873,15700000,6600000,15800000,8200000,0.2767857142857143,38100000
0,1,0,6000000,22000000,12,826,1400000,2000000,14100000,7000000,0.2727272727272727,17500000
0,1,1,7200000,15600000,2,362,2700000,2400000,20800000,5900000,0.46153846153846156,25900000
4,0,1,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0.41818181818181815,29100000
2,0,0,4100000,12800000,16,344,10300000,7000000,15800000,4100000,0.3203125,33100000
5,0,1,3600000,8500000,20,594,4400000,6400000,7400000,4500000,0.4235294117647059,18200000
4,0,0,700000,1800000,18,728,400000,1300000,2200000,600000,0.3888888888888889,3900000
5,1,1,6600000,16000000,12,811,13100000,5000000,14700000,5000000,0.4125,32800000
5,0,1,5500000,18800000,12,603,3300000,700000,21000000,5000000,0.2925531914893617,25000000
3,1,1,9400000,30900000,20,873,22800000,17700000,19300000,9000000,0.3042071197411003,59800000
0,0,0,1800000,5700000,18,306,500000,700000,5600000,1700000,0.3157894736842105,6800000
1,1,1,1500000,5900000,16,400,4200000,2400000,4800000,1500000,0.2542372881355932,11400000
5,1,0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0.3604060913705584,38200000
0,1,0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,0.46153846153846156,18900000
3,1,1,8400000,27000000,8,746,15000000,8400000,27000000,12500000,0.3111111111111111,50400000
0,1,0,6900000,23500000,2,621,7800000,7300000,23100000,9400000,0.2936170212765957,38200000
3,1,0,1400000,4100000,8,455,3000000,1400000,2900000,2100000,0.34146341463414637,7300000
1,1,0,6000000,20000000,12,637,10800000,4300000,20000000,8600000,0.3,35100000
2,1,1,6200000,21600000,20,679,18600000,2500000,24500000,9100000,0.28703703703703703,45600000
2,1,1,3500000,12000000,14,476,1100000,6800000,12400000,2900000,0.2916666666666667,20300000
1,1,1,1100000,3800000,8,779,600000,1800000,4000000,1600000,0.2894736842105263,6400000
3,1,1,8500000,30300000,12,762,12700000,3700000,20000000,4200000,0.28052805280528054,36400000
5,1,1,5600000,20500000,8,873,5500000,9500000,19400000,7800000,0.2731707317073171,34400000
0,1,0,5900000,20300000,4,806,300000,3700000,16400000,4800000,0.29064039408866993,20400000
0,1,0,4100000,10800000,16,399,5900000,7600000,12700000,5300000,0.37962962962962965,26200000
0,1,1,8200000,31500000,8,403,11500000,8800000,19000000,6100000,0.26031746031746034,39300000
4,1,0,1700000,5600000,8,395,2700000,800000,3500000,2400000,0.30357142857142855,7000000
0,0,1,5300000,12900000,20,826,15500000,6800000,12000000,5200000,0.4108527131782946,34300000
3,0,0,8300000,17700000,16,848,10500000,1100000,18700000,5900000,0.4689265536723164,30300000
4,0,0,2600000,8500000,4,775,600000,3800000,10400000,2600000,0.3058823529411765,14800000
1,0,1,3200000,11800000,16,848,5500000,3200000,7500000,2300000,0.2711864406779661,16200000
1,0,0,4100000,9100000,20,550,9900000,5200000,10800000,4800000,0.45054945054945056,25900000
1,0,0,6500000,23400000,2,672,5000000,10400000,16700000,7600000,0.2777777777777778,32100000
3,0,1,8100000,19900000,20,347,22800000,14400000,29800000,5500000,0.40703517587939697,67000000
3,0,1,6900000,19000000,14,348,4200000,3700000,19400000,4900000,0.3631578947368421,27300000
3,0,0,1600000,5500000,12,425,600000,800000,5400000,900000,0.2909090909090909,6800000
2,1,0,7700000,27300000,16,758,7300000,4600000,24800000,9100000,0.28205128205128205,36700000
4,1,0,1600000,5100000,8,705,2400000,800000,5100000,1900000,0.3137254901960784,8300000
2,1,0,8500000,32700000,18,471,12600000,9400000,33900000,12500000,0.2599388379204893,55900000
5,0,0,2900000,9800000,12,588,5900000,2300000,6800000,2900000,0.29591836734693877,15000000
5,0,0,6100000,23500000,16,300,300000,700000,22800000,4800000,0.25957446808510637,23800000
5,1,0,6700000,23200000,18,672,1600000,6700000,20800000,5400000,0.28879310344827586,29100000
4,1,1,6700000,18400000,10,371,1900000,1400000,15700000,4400000,0.3641304347826087,19000000
2,0,0,6600000,21500000,18,471,13700000,9800000,17100000,4800000,0.30697674418604654,40600000
2,1,1,2900000,8300000,10,693,7500000,1900000,9700000,4300000,0.3493975903614458,19100000
3,0,1,3200000,7400000,2,543,3600000,4500000,11200000,4600000,0.43243243243243246,19300000
2,0,0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,0.38961038961038963,17400000
1,0,1,8300000,16800000,2,366,22000000,6600000,27300000,4500000,0.49404761904761907,55900000
1,1,0,4800000,14300000,4,489,12400000,7900000,17700000,3600000,0.3356643356643357,38000000
5,0,1,3000000,11800000,10,672,8700000,3600000,9800000,4100000,0.2542372881355932,22100000
1,1,1,4600000,18400000,10,403,200000,8800000,17300000,2900000,0.25,26300000
2,1,1,1500000,4500000,14,826,3200000,1700000,4600000,1600000,0.3333333333333333,9500000
5,1,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0.3263157894736842,17600000
4,1,0,6400000,19700000,20,400,2300000,6100000,20100000,6200000,0.3248730964467005,28500000
4,1,1,2300000,5800000,8,469,6100000,4200000,7900000,2400000,0.39655172413793105,18200000
2,0,0,3300000,13000000,16,300,5500000,5900000,7400000,3100000,0.25384615384615383,18800000
0,0,0,4900000,16400000,2,383,3300000,3500000,15000000,5800000,0.29878048780487804,21800000
1,1,1,1300000,5000000,4,610,3400000,800000,4500000,900000,0.26,8700000
2,1,0,1900000,7500000,2,889,600000,1100000,7100000,2600000,0.25333333333333335,8800000
2,1,0,1300000,4500000,6,415,0,900000,2900000,1200000,0.28888888888888886,3800000
2,1,1,5000000,14600000,10,808,4400000,3500000,17300000,3100000,0.3424657534246575,25200000
2,1,1,1100000,2200000,4,874,1900000,1300000,2100000,900000,0.5,5300000
0,1,0,6000000,13100000,6,385,16600000,7600000,22000000,7400000,0.4580152671755725,46200000
1,1,0,3800000,9800000,8,335,100000,5100000,14200000,1800000,0.3877551020408163,19400000
1,1,0,6900000,22700000,16,394,3800000,4300000,27400000,8700000,0.3039647577092511,35500000
1,0,1,7100000,19300000,16,738,7200000,0,24300000,3600000,0.36787564766839376,31500000
2,1,1,7400000,14900000,20,627,15900000,10100000,19000000,10300000,0.4966442953020134,45000000
3,1,1,8800000,26700000,12,708,16000000,15300000,26900000,9600000,0.3295880149812734,58200000
1,1,0,2200000,5200000,14,682,2600000,600000,6100000,1800000,0.4230769230769231,9300000
5,0,0,900000,2300000,16,545,100000,200000,2700000,800000,0.391304347826087,3000000
3,0,1,7800000,19600000,4,767,18100000,10500000,20500000,7700000,0.3979591836734694,49100000
0,1,1,2000000,6900000,4,404,4900000,1600000,4200000,3000000,0.2898550724637681,10700000
5,1,1,7500000,24600000,8,744,1600000,3600000,16700000,9300000,0.3048780487804878,21900000
5,0,0,9200000,29200000,16,383,17700000,13300000,30400000,5700000,0.3150684931506849,61400000
0,0,1,6300000,21500000,8,629,600000,3400000,22000000,5200000,0.2930232558139535,26000000
2,1,1,6100000,12300000,18,697,14100000,9100000,12600000,3500000,0.4959349593495935,35800000
3,1,1,4200000,9700000,16,841,7800000,300000,16700000,5100000,0.4329896907216495,24800000
2,1,0,8600000,33300000,16,375,19600000,11200000,25500000,11200000,0.25825825825825827,56300000
1,0,1,5600000,16800000,16,528,7500000,6500000,12300000,3900000,0.3333333333333333,26300000
3,0,1,500000,1900000,18,618,-100000,600000,1000000,400000,0.2631578947368421,1500000
4,1,0,8100000,28000000,8,663,8800000,11300000,26000000,5500000,0.2892857142857143,46100000
0,0,1,2300000,4900000,12,409,3300000,2400000,4700000,3200000,0.46938775510204084,10400000
2,1,1,1600000,4300000,20,512,3200000,2500000,6300000,900000,0.37209302325581395,12000000
1,1,1,8400000,24700000,18,698,23000000,13200000,32700000,12200000,0.340080971659919,68900000
2,1,0,5900000,20800000,14,530,7100000,5800000,13100000,8800000,0.28365384615384615,26000000
5,1,1,3100000,10900000,12,884,6100000,3700000,12300000,4100000,0.28440366972477066,22100000
0,0,1,4300000,14300000,14,601,3800000,900000,16700000,5700000,0.3006993006993007,21400000
3,1,0,6400000,23000000,8,520,12100000,11400000,16000000,3800000,0.2782608695652174,39500000
1,0,1,6000000,23300000,12,672,2000000,11300000,19600000,6400000,0.2575107296137339,32900000
4,1,1,4300000,16100000,18,849,3800000,6600000,17100000,6400000,0.2670807453416149,27500000
2,0,1,3500000,8100000,4,589,3800000,6700000,12500000,2700000,0.43209876543209874,23000000
4,1,0,6700000,25300000,12,555,16900000,3600000,23500000,4900000,0.2648221343873518,44000000
1,1,1,400000,900000,8,828,600000,500000,1500000,300000,0.4444444444444444,2600000
3,0,0,5500000,19800000,14,853,7300000,3000000,15500000,3100000,0.2777777777777778,25800000
1,0,1,3100000,11500000,4,871,1500000,2400000,7100000,3600000,0.26956521739130435,11000000
2,1,0,600000,1100000,10,800,1200000,200000,2300000,900000,0.5454545454545454,3700000
0,0,0,300000,500000,18,702,300000,400000,1200000,100000,0.6,1900000
2,0,1,8200000,23600000,6,495,23000000,10600000,27200000,6100000,0.3474576271186441,60800000
2,0,1,7100000,18800000,12,838,1100000,5200000,16600000,4900000,0.3776595744680851,22900000
3,1,1,2200000,8800000,2,877,5000000,1300000,6400000,3100000,0.25,12700000
4,1,0,7500000,21900000,2,585,6800000,12200000,27500000,8100000,0.3424657534246575,46500000
3,1,1,2700000,10600000,8,840,500000,3000000,9000000,1900000,0.25471698113207547,12500000
1,1,0,8900000,24000000,6,380,16500000,7400000,27700000,7500000,0.37083333333333335,51600000
1,1,1,400000,1400000,12,468,700000,0,1500000,400000,0.2857142857142857,2200000
5,0,1,5000000,16400000,14,525,13000000,9100000,15300000,3300000,0.3048780487804878,37400000
3,1,1,1400000,4600000,8,543,1500000,1200000,2700000,2000000,0.30434782608695654,5400000
1,1,1,5100000,20300000,18,757,11800000,3400000,13400000,3200000,0.2512315270935961,28600000
1,1,0,4600000,13900000,8,520,13300000,6400000,9800000,2200000,0.33093525179856115,29500000
1,0,1,4200000,11300000,4,704,4700000,2800000,14900000,4000000,0.37168141592920356,22400000
4,0,1,1100000,3600000,14,711,2500000,500000,3600000,600000,0.3055555555555556,6600000
0,0,0,4200000,10300000,10,506,9300000,4500000,12400000,6000000,0.4077669902912621,26200000
0,1,0,3800000,14800000,10,390,5900000,5700000,9500000,4600000,0.25675675675675674,21100000
4,0,1,8900000,23400000,18,781,16500000,3100000,24900000,5800000,0.3803418803418803,44500000
4,0,1,1400000,2900000,6,723,3800000,0,4700000,1600000,0.4827586206896552,8500000
4,1,0,4100000,13100000,14,772,11200000,4200000,10500000,3800000,0.31297709923664124,25900000
3,1,1,7000000,16200000,6,378,20000000,12600000,20300000,5500000,0.43209876543209874,52900000
3,0,0,600000,1100000,8,538,500000,800000,1400000,300000,0.5454545454545454,2700000
2,1,0,5700000,21300000,10,323,1600000,11200000,16200000,5100000,0.2676056338028169,29000000
5,1,0,6100000,23600000,4,725,17400000,5100000,15600000,4800000,0.2584745762711864,38100000
5,1,1,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0.2916666666666667,41700000
3,0,0,9200000,34300000,18,523,25600000,4000000,29100000,8800000,0.26822157434402333,58700000
2,1,1,600000,2100000,18,572,400000,500000,1400000,300000,0.2857142857142857,2300000
3,1,1,7000000,15200000,2,709,10300000,12500000,20700000,4000000,0.4605263157894737,43500000
5,1,1,5000000,10600000,6,839,12600000,8600000,19800000,3500000,0.4716981132075472,41000000
2,0,1,4600000,12600000,2,355,6300000,6900000,14800000,6500000,0.36507936507936506,28000000
4,0,1,300000,500000,14,448,700000,100000,800000,100000,0.6,1600000
5,1,1,200000,300000,8,412,-100000,100000,500000,100000,0.6666666666666666,500000
5,1,0,9700000,28400000,4,494,5300000,12000000,24400000,10000000,0.3415492957746479,41700000
2,1,1,5500000,18400000,10,515,6800000,4400000,18500000,4100000,0.29891304347826086,29700000
4,1,1,2600000,8500000,4,392,5500000,100000,8800000,2900000,0.3058823529411765,14400000
0,1,0,8100000,26500000,20,342,5800000,5600000,23700000,5800000,0.30566037735849055,35100000
2,1,1,8200000,28700000,14,316,23300000,16100000,17700000,4300000,0.2857142857142857,57100000
3,0,1,1700000,4600000,12,385,1500000,1300000,5200000,1700000,0.3695652173913043,8000000
3,0,0,5100000,11000000,6,336,-100000,5800000,11600000,7500000,0.4636363636363636,17300000
4,1,1,9200000,29100000,10,731,14500000,8300000,35800000,5000000,0.3161512027491409,58600000
5,1,0,500000,1500000,6,433,-100000,700000,1900000,700000,0.3333333333333333,2500000
0,1,0,8200000,20300000,4,666,13100000,10200000,25900000,7800000,0.4039408866995074,49200000
4,1,0,4400000,9800000,18,732,2400000,2400000,15100000,4400000,0.4489795918367347,19900000
5,0,1,1100000,3200000,20,592,3200000,700000,3500000,500000,0.34375,7400000
5,0,1,500000,1500000,4,476,200000,200000,1100000,700000,0.3333333333333333,1500000
3,0,0,1700000,5400000,6,710,4800000,700000,5800000,1700000,0.3148148148148148,11300000
5,1,0,1100000,2500000,4,827,2400000,1000000,4100000,600000,0.44,7500000
1,1,0,2900000,11500000,20,431,3600000,3800000,5900000,3100000,0.25217391304347825,13300000
1,1,0,2300000,6600000,18,513,4600000,900000,9000000,1600000,0.3484848484848485,14500000
3,0,1,3400000,9700000,20,728,1500000,1500000,7300000,2400000,0.35051546391752575,10300000
5,0,0,7500000,22800000,16,347,15100000,1200000,16100000,10700000,0.32894736842105265,32400000
0,1,0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,0.2828282828282828,12900000
0,1,1,7700000,16900000,14,473,22100000,4000000,29000000,6400000,0.4556213017751479,55100000
5,1,1,3800000,9100000,18,654,9000000,4000000,10200000,3000000,0.4175824175824176,23200000
3,1,0,2200000,8300000,18,314,1100000,900000,5800000,2000000,0.26506024096385544,7800000
3,0,1,600000,1700000,4,576,400000,100000,2100000,500000,0.35294117647058826,2600000
2,0,1,3800000,10900000,10,766,1900000,3900000,8600000,3000000,0.3486238532110092,14400000
3,1,0,5800000,20100000,18,791,1400000,10800000,16300000,5600000,0.2885572139303483,28500000
5,1,1,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0.2972972972972973,51800000
1,0,1,7800000,16200000,2,335,4900000,7900000,28700000,6400000,0.48148148148148145,41500000
0,0,1,8300000,30000000,4,600,14600000,12500000,24800000,12000000,0.27666666666666667,51900000
4,0,0,3900000,11400000,20,867,3800000,1100000,13600000,3200000,0.34210526315789475,18500000
2,0,1,600000,2400000,6,454,100000,600000,2300000,300000,0.25,3000000
3,1,1,3100000,6300000,18,895,2300000,3400000,10500000,4200000,0.49206349206349204,16200000
5,0,0,2100000,5500000,20,705,5400000,1400000,4600000,1200000,0.38181818181818183,11400000
4,1,0,1600000,3200000,16,657,200000,100000,5700000,1200000,0.5,6000000
2,0,0,6000000,13900000,4,533,3000000,9600000,14600000,4100000,0.4316546762589928,27200000
0,1,0,4800000,19000000,12,650,7000000,1000000,15600000,4800000,0.25263157894736843,23600000
4,0,0,3900000,11000000,2,786,7900000,1600000,10700000,2100000,0.35454545454545455,20200000
1,1,1,4900000,16800000,12,758,1700000,2700000,11100000,5900000,0.2916666666666667,15500000
2,0,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0.25773195876288657,29100000
1,1,0,500000,1700000,2,680,700000,800000,1400000,700000,0.29411764705882354,2900000
